topic,lda,nmf,w2v_kmeans
1,"bank, card, call, tell, receive, check, not, say, money, send","report, credit, information, dispute, inaccurate, item, remove, delete, file, request","credit, report, account, debt, information, letter, dispute, send, company, file"
2,"identity, information, theft, request, fraudulent, balance, open, item, consumer, file","usc, section, consumer, reporting, state, right, agency, furnish, privacy, information","credit, account, report, financial, consumer, request, information, issue, act, complaint"
3,"consumer, usc, information, section, reporting, agency, right, state, furnish, privacy","payment, late, error, creditor, history, pay, statement, report, day, billing","consumer, usc, reporting, information, section, account, agency, state, right, report"
4,"pay, balance, charge, not, tell, call, owe, fee, company, year","not, bank, card, call, tell, pay, loan, receive, say, send","account, bank, card, credit, call, tell, not, receive, money, say"
5,"reporting, fcra, dispute, information, violation, inaccurate, act, fair, consumer, code","debt, proof, collection, allege, pressume, doctrine, supply, estoppel, silence, exist","report, credit, account, inquiry, identity, theft, information, fraudulent, consumer, remove"
6,"payment, late, date, pay, day, error, time, statement, creditor, history","theft, identity, victim, result, block, fraudulent, information, item, report, consumer","credit, report, consumer, account, information, reporting, dispute, fcra, debt, violation"
7,"information, dispute, letter, send, remove, file, day, verify, company, receive","account, balance, open, number, date, fraudulent, collection, close, remove, belong","report, credit, account, information, inaccurate, reporting, dispute, remove, item, fcra"
8,"inquiry, information, remove, unauthorized, date, personal, authorize, consent, identity, consumer","inquiry, hard, unauthorized, credit, authorize, report, fraudulent, remove, date, consent","debt, proof, exist, fact, supply, allege, silence, doctrine, estoppel, pressume"
9,"loan, mortgage, home, time, receive, year, score, company, month, issue","app, cash, financial, resolution, unfair, act, platform, vulnerable, fail, significant","account, payment, report, credit, late, balance, date, open, information, day"
10,"debt, collection, provide, request, practice, act, original, law, violation, validation","code, banking, system, violation, reporting, consent, efficiency, impair, fair, report","payment, loan, pay, credit, account, time, mortgage, tell, receive, month"
